"session_id","athlete_name","session_date","season","is_dummy","session_num","session_type","session_name","position_name","starttime","endtime","r_starttime","r_endtime","total_dur","active_dur","rpe","srpe","total_pl","active_pl","DSL","Jumps","Jumps_6_10","Jumps_10_15","Jumps_15_20","Jumps_20_25","Jumps_25_30","Jumps_30_35","Jumps_35_40","Jumps_40_45","Jumps_45_50","Jumps_50_55","Jumps_55_60","Jumps_60_65","Jumps_65_70","Jumps_70_75","Jumps_75_80","s_jumps","m_jumps","l_jumps","C_count_1_5","C_count_2_0","C_count_2_5","C_count_3_0","C_count_3_5","C_count_4_0","C_count_4_5","C_count_5_0","C_count_5_5","C_count_6_0","C_count_6_5","C_count_7_0","C_count_7_5","C_count_8_0","C_count_8_5","C_count_9_0","C_count_9_5","C_count_10_0","R_count_1_5","R_count_2_0","R_count_2_5","R_count_3_0","R_count_3_5","R_count_4_0","R_count_4_5","R_count_5_0","R_count_5_5","R_count_6_0","R_count_6_5","R_count_7_0","R_count_7_5","R_count_8_0","R_count_8_5","R_count_9_0","R_count_9_5","R_count_10_0","L_count_1_5","L_count_2_0","L_count_2_5","L_count_3_0","L_count_3_5","L_count_4_0","L_count_4_5","L_count_5_0","L_count_5_5","L_count_6_0","L_count_6_5","L_count_7_0","L_count_7_5","L_count_8_0","L_count_8_5","L_count_9_0","L_count_9_5","L_count_10_0"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Athlete 1","2021-04-06","2020/21",NA,1,"Training",NA,NA,"10:28:02","10:31:03","2021-04-06T10:28:02.828Z","2021-04-06T10:31:03.451Z",3,1.40066666666667,0,0,6.67374280354507,0,140.088327676093,26,1,9,7,2,1,2,4,0,0,0,0,0,0,0,0,12,13,1,566,1,17,29,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Athlete 1","2021-04-06","2020/21",NA,1,"Training",NA,NA,"10:28:02","10:31:03","2021-04-06T10:28:02.828Z","2021-04-06T10:31:03.451Z",3,1.40066666666667,0,0,6.67374280354507,0,140.088327676093,26,1,9,7,2,1,2,4,0,0,0,0,0,0,0,0,12,13,1,566,1,17,29,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Athlete 1","2021-04-06","2020/21",NA,1,"Training",NA,NA,"10:00:00","10:33:14","2021-04-06T10:00:00.000Z","2021-04-06T10:33:14.000Z",33,3.815,0,0,23.7174319608226,0,277.396703544612,54,9,14,17,3,5,2,4,0,0,0,0,0,0,0,0,32,21,1,8303,27,32,35,13,15,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Athlete 1","2021-04-06","2020/21",NA,1,"Training",NA,NA,"10:00:00","10:33:14","2021-04-06T10:00:00.000Z","2021-04-06T10:33:14.000Z",33,3.815,0,0,23.7174319608226,0,277.396703544612,54,9,14,17,3,5,2,4,0,0,0,0,0,0,0,0,32,21,1,8303,27,32,35,13,15,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Athlete 1","2021-04-08","2020/21",NA,1,"Training","GRJumps",NA,"10:43:30","10:49:54","2021-04-08T10:43:30.016Z","2021-04-08T10:49:54.000Z",6,2.50666666666667,0,0,15.2775705260566,0,202.045894395236,23,0,5,5,6,3,4,0,0,0,0,0,0,0,0,0,7,16,0,1284,18,13,10,22,10,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Athlete 1","2021-04-08","2020/21",NA,1,"Training","GRjumps",NA,"10:44:10","10:49:54","2021-04-08T10:44:10.294Z","2021-04-08T10:49:54.000Z",6,2.39666666666667,0,0,14.4497866650836,0,202.045894395236,23,0,5,5,6,3,4,0,0,0,0,0,0,0,0,0,7,16,0,1136,16,13,10,22,10,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Athlete 1","2021-04-08","2020/21",NA,1,"Training","GRJump",NA,"10:44:10","10:49:54","2021-04-08T10:44:10.294Z","2021-04-08T10:49:54.000Z",6,2.39666666666667,0,0,14.4497866650836,0,202.045894395236,23,0,5,5,6,3,4,0,0,0,0,0,0,0,0,0,7,16,0,1136,16,13,10,22,10,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Athlete 1","2021-04-08","2020/21",NA,1,"Training","",NA,"10:48:59","10:49:54","2021-04-08T10:48:59.236Z","2021-04-08T10:49:54.000Z",1,0.5405,0,0,2.62942250354155,0,31.6502903844224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,3,6,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Athlete 1","2021-04-08","2020/21",NA,1,"Training","",NA,"10:48:49","10:49:54","2021-04-08T10:48:49.795Z","2021-04-08T10:49:54.000Z",1,0.5405,0,0,2.69277934199674,0,29.2381762843731,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,211,3,6,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
