"row_number","athlete_name","session_type","session_name","session_num","time","C_res_acc","C_peak_mag","C_f_time","C_Jump","C_jh","C_PL","C_acc_zone","C_acc_zone_time","C_ma_Peak","C_raw_peak_mag","C_active_time","L_res_acc","L_peak_mag","L_f_time","L_Jump","L_jh","L_PL","L_acc_zone","L_acc_zone_time","L_ma_Peak","L_raw_peak_mag","L_active_time","R_res_acc","R_peak_mag","R_f_time","R_Jump","R_jh","R_PL","R_acc_zone","R_acc_zone_time","R_ma_Peak","R_raw_peak_mag","R_active_time","C_x_raw","C_y_raw","C_z_raw","C_up_id"
0.01,"Athlete 1",NA,NA,NA,2021-05-04 00:02:16,0.989897270811063,0,NA,0,NA,5.22419157866561e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,-0.01,0.99,0.988550109532442
0.02,"Athlete 1","Training","",1,2021-05-04 00:02:16,0.991869660165818,0,NA,0,NA,7.04831241439411e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,-0.01,0.99,0.990609261043769
0.03,"Athlete 1","Training","",1,2021-05-04 00:02:16,0.99514576697153,0,NA,0,NA,7.82249503407233e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0411111111111181,-0.0188888888888819,0.99,0.994013369571884
0.04,"Athlete 1","Training","",1,2021-05-04 00:02:16,0.999389010484532,0,NA,0,NA,7.17054052651696e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387499999999911,-0.03,1,0.998366584414617
0.05,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.00388532650981,0,NA,0,NA,5.37330963370034e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,-0.03,1.00272727272728,1.00293110386319
0.06,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.0078116856982,0,NA,0,NA,3.17798542674376e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,-0.03,1.01,1.00689667990377
0.07,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.01055522132988,0,NA,0,NA,1.80543609733811e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,-0.03,1.01,1.00967415987407
0.08,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.01190561219819,0,NA,0,NA,2.30811122130995e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,-0.03,1.01,1.01106747032264
0.09,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.01204340390485,0,NA,0,NA,3.1627836010549e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,-0.0212500000000044,1.01,1.01125967507207
0.1,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.01138888263231,0,NA,0,NA,3.66938687573905e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,-0.0288888888888819,1.01,1.01066736625805
0.11,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.01043643224311,0,NA,0,NA,3.81370430289561e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,-0.02,1.01,1.00977789656416
0.12,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.00965442494686,0,NA,0,NA,3.6725458220914e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,-0.0187499999999956,1.01,1.00905009601637
0.13,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.00944492200765,0,NA,0,NA,3.38464511349703e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,-0.01,1.01,1.00887660629929
0.14,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.01010565660401,0,NA,0,NA,3.15188227322694e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,-0.01,1.01,1.00954982906175
0.15,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.01175275533863,0,NA,0,NA,3.09957036082839e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377777777777708,-0.01,1.01,1.01118662103503
0.16,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.01422842796966,0,NA,0,NA,3.10988765814933e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300000000000258,-0.00999999999997416,1.01000000000003,1.01363419069985
0.17,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.01707321783919,0,NA,0,NA,2.91166502111008e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390909090909067,-0.000909090909093257,1.01909090909091,1.0164382343322
0.18,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.01962532906051,0,NA,0,NA,2.29789982791163e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388888888888854,-0.00111111111111462,1.02,1.01893997886407
0.19,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.02122552097095,0,NA,0,NA,1.38621239981088e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325000000000178,-0.01,1.02,1.02048436762389
0.2,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.02143726172292,0,NA,0,NA,1.4253664529748e-05,1.5,1.5,1,1.02143726172292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,-0.01,1.02,1.02064638926676
0.21,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.0201950745401,0,NA,0,NA,2.62617831298677e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,-0.01,1.02,1.019379482774
0.22,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.01783386407117,0,NA,0,NA,3.60676860500775e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,-0.01,1.02,1.01703503295453
0.23,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.01498354208945,0,NA,0,NA,3.93718236726619e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,-0.00166666666665088,1.01166666666665,1.01424532011562
0.24,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.01235361620482,0,NA,0,NA,3.58340440199568e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,1.01,1.01170475642597
0.25,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.0104920659005,0,NA,0,NA,2.71765919623909e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,1.01,1.00993561179596
0.26,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.00962885079984,0,NA,0,NA,1.8269076309576e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,1.01,1.00914292035844
0.27,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.0096630084248,0,NA,0,NA,2.02145266551925e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,1.01,1.00920965773841
0.28,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.0102625347088,0,NA,0,NA,3.03517172909425e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,1.01,1.00979736858305
0.29,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.01099750036808,0,NA,0,NA,3.77550739851252e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.00833333333334912,1.01,1.01047663322341
0.3,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.01145087505242,0,NA,0,NA,3.8835995430438e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.01,1.01,1.01083802118342
0.31,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.0113069821971,0,NA,0,NA,3.46339687169904e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324999999999822,0.01,1.01,1.01058225894725
0.32,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.01043920496691,0,NA,0,NA,2.87854054134054e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0150000000000178,1.01,1.00960454269795
0.33,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.00898247898415,0,NA,0,NA,2.39497820860219e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.02,1.01,1.00805707465656
0.34,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.00732200043855,0,NA,0,NA,2.00956505973562e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.02,1.01,1.00632872244602
0.35,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.00593149646766,0,NA,0,NA,2.12760934258325e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.02,1.00181818181817,1.00488325580753
0.36,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.00509514888625,0,NA,0,NA,3.12765465331609e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.02,1,1.00398885122806
0.37,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.00468587135786,0,NA,0,NA,4.19424164262668e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487499999999956,0.02,1,1.003503811202
0.38,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.00420208467268,0,NA,0,NA,4.5577531701257e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0237500000000133,1.00375000000001,1.0029201815215
0.39,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.00310436791744,0,NA,0,NA,3.99577151003212e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0362500000000089,1.01,1.00171083336948
0.4,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.00124524238314,0,NA,0,NA,2.82272910526371e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,1.00416666666666,0.999763269613223
