"row_number","athlete_name","session_type","session_name","session_num","time","C_res_acc","C_peak_mag","C_f_time","C_Jump","C_jh","C_PL","C_acc_zone","C_acc_zone_time","C_ma_Peak","C_raw_peak_mag","C_active_time","L_res_acc","L_peak_mag","L_f_time","L_Jump","L_jh","L_PL","L_acc_zone","L_acc_zone_time","L_ma_Peak","L_raw_peak_mag","L_active_time","R_res_acc","R_peak_mag","R_f_time","R_Jump","R_jh","R_PL","R_acc_zone","R_acc_zone_time","R_ma_Peak","R_raw_peak_mag","R_active_time"
0.01,"Athlete 1",NA,NA,NA,2021-10-25 00:02:28,1.00900059296403,0,NA,0,NA,0.000136520853634696,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00827991325347,0,NA,0,NA,0.000153643166756323,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00742981686247,0,NA,0,NA,0.000154703403337794,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00641178196189,0,NA,0,NA,0.000150831926297463,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00526944876331,0,NA,0,NA,0.000139451589829564,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00417438873867,0,NA,0,NA,0.000105100240309934,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00340798767673,0,NA,0,NA,4.38479194341675e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00325531643239,0,NA,0,NA,7.19911334528197e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00383806564481,0,NA,0,NA,0.000162021854004871,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00497444320021,0,NA,0,NA,0.000224629367291501,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.0061790818163,0,NA,0,NA,0.000245120137108643,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00685759012286,0,NA,0,NA,0.000238403968807098,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00661382037506,0,NA,0,NA,0.000226144631755095,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00547360082476,0,NA,0,NA,0.000204878675664059,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00386319718486,0,NA,0,NA,0.000160083204268803,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.0023605975561,0,NA,0,NA,9.75357668980246e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00139831634542,0,NA,0,NA,4.96511760502603e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00109668626791,0,NA,0,NA,4.91452667247706e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00128242992006,0,NA,0,NA,4.66934318825032e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00163171196933,0,NA,0,NA,2.16263352046453e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00184199073225,0,NA,0,NA,3.44435299613122e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.22,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00176265731628,0,NA,0,NA,6.66125917027259e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00145255810539,0,NA,0,NA,6.6072259185958e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00115637041102,0,NA,0,NA,3.02953533589708e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00120388407281,0,NA,0,NA,0.000105046950615172,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00185296382332,0,NA,0,NA,0.000230672884233904,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00312726992732,0,NA,0,NA,0.000333723827277315,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.28,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.0047310120774,0,NA,0,NA,0.000368619304772455,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.29,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00612186880962,0,NA,0,NA,0.000324346756537443,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00675548940553,0,NA,0,NA,0.000244757491090164,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.31,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00639044146164,0,NA,0,NA,0.000210088627736627,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.0052551607081,0,NA,0,NA,0.000225257002242938,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00394454124516,0,NA,0,NA,0.000232645880747204,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.34,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00311111485518,0,NA,0,NA,0.000231709415284072,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00316034043404,0,NA,0,NA,0.000242083771548207,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00411953662443,0,NA,0,NA,0.000249373544768332,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.37,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00569834643437,0,NA,0,NA,0.000226964310243525,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00745089092541,0,NA,0,NA,0.000168251728707814,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.39,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00894433994134,0,NA,0,NA,9.78364292554833e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00988689100435,0,NA,0,NA,9.70615385785851e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.41,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.0102048996136,0,NA,0,NA,0.000150055306342991,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.01005919657658,0,NA,0,NA,0.000173381139708781,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.43,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00977620930218,0,NA,0,NA,0.00015675919243866,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.44,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00968434166945,0,NA,0,NA,0.00012836180853635,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.45,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00990898038951,0,NA,0,NA,0.000112571131256399,1.5,1.5,1,1.01024714688775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.46,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.01024714688775,0,NA,0,NA,0.000106477615213512,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.47,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.01023423246735,0,NA,0,NA,0.000145334131973165,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.48,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00939982640479,0,NA,0,NA,0.000232567981197052,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.49,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00756693884192,0,NA,0,NA,0.000308415449949193,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00500582187117,0,NA,0,NA,0.000329275382166108,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.51,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00235360434959,0,NA,0,NA,0.000289214700917622,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.52,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00036611525097,0,NA,0,NA,0.000248856201613781,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.53,"Athlete 1","Training","",1,2021-10-25 00:02:28,0.999647070006057,0,NA,0,NA,0.000309321993402949,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.54,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00045801302548,0,NA,0,NA,0.000410091194424502,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.55,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00262970205317,0,NA,0,NA,0.000437327667886995,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.56,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00557456055949,0,NA,0,NA,0.000352122720454529,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.57,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00843118952969,0,NA,0,NA,0.000206087284485124,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.01034692267702,0,NA,0,NA,0.000199915060309853,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.59,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.01079642066858,0,NA,0,NA,0.000329194672794138,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00976908708684,0,NA,0,NA,0.000402129461928834,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
