"row_number","athlete_name","session_type","session_name","session_num","time","C_res_acc","C_peak_mag","C_f_time","C_Jump","C_jh","C_PL","C_acc_zone","C_acc_zone_time","C_ma_Peak","C_raw_peak_mag","C_active_time","L_res_acc","L_peak_mag","L_f_time","L_Jump","L_jh","L_PL","L_acc_zone","L_acc_zone_time","L_ma_Peak","L_raw_peak_mag","L_active_time","R_res_acc","R_peak_mag","R_f_time","R_Jump","R_jh","R_PL","R_acc_zone","R_acc_zone_time","R_ma_Peak","R_raw_peak_mag","R_active_time","C_x_raw","C_y_raw","C_z_raw","C_up_id"
0.01,"Athlete 1",NA,NA,NA,2021-04-24 00:14:12,1.03980819779764,0,NA,0,NA,9.8775293256023e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,0.734166666666682,0.737499999999953,0.747557517599062
0.02,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.03506742110145,0,NA,0,NA,7.14971698905291e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0133333333332491,0.729999999999874,0.723333333333375,0.739774533834648
0.03,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.03609150451557,0,NA,0,NA,0.000122987297816507,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0.738888888888917,0.741839776366818
0.04,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.0418755575818,0,NA,0,NA,0.00014783465487124,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0.761111111111083,0.751566573186189
0.05,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.04893682223842,0,NA,0,NA,0.000134179394842086,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.716666666666624,0.77,0.763498706369473
0.06,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.05302410907859,0,NA,0,NA,0.000122767788813138,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0077777777777076,0.727777777777708,0.777777777777708,0.771799581905723
0.07,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.05128269233565,0,NA,0,NA,0.000139959165453134,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277777777778339,0.721111111111083,0.78,0.772924082106457
0.08,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.04364852227017,0,NA,0,NA,0.000148783931575172,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0450000000000947,0.704999999999905,0.764999999999905,0.766930446799122
0.09,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.03269661885879,0,NA,0,NA,0.000121719850550849,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.692999999999932,0.752999999999932,0.757061717334665
0.1,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.02221719059097,0,NA,0,NA,6.95911523178845e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0577777777778339,0.69,0.742222222222166,0.748019528004308
0.11,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.01548810266876,0,NA,0,NA,5.75539284036802e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.69,0.74,0.743844249621071
0.12,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.01412359432548,0,NA,0,NA,9.80041288575769e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.69,0.74,0.746353638991566
0.13,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.01783573517715,0,NA,0,NA,0.000119824007031492,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.68,0.761111111111083,0.754719753959286
0.14,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.02497722842264,0,NA,0,NA,0.000112361550708288,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.68,0.771666666666635,0.766183411528346
0.15,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.03347876172853,0,NA,0,NA,8.8941578006632e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.68,0.78,0.777394477842049
0.16,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.04167107261016,0,NA,0,NA,7.56743966657658e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509999999999773,0.689000000000023,0.789000000000023,0.785672344499611
0.17,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.04858593661361,0,NA,0,NA,8.47931263958904e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.681111111111083,0.781111111111083,0.789681170711097
0.18,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.05370595557468,0,NA,0,NA,9.30765318827259e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.69,0.79,0.789436186816645
0.19,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.05652703101734,0,NA,0,NA,8.37456702679422e-05,1.5,1.5,1,1.05652703101734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566666666666246,0.696666666666751,0.786666666666625,0.785898771410566
0.2,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.05640911184221,0,NA,0,NA,6.58357973889218e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.714444444444515,0.78,0.780489673558121
0.21,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.05292774181383,0,NA,0,NA,6.99899765176223e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538461538462278,0.72,0.776153846153772,0.774704985937863
0.22,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.04646357094178,0,NA,0,NA,9.17064454645726e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644444444445848,0.715555555555415,0.77,0.769850443004045
0.23,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.0384684610735,0,NA,0,NA,0.000102517549223591,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0782352941176274,0.694705882352882,0.768235294117627,0.766843391523962
0.24,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.0310486523318,0,NA,0,NA,9.55429227035494e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723529411764745,0.677058823529424,0.762352941176475,0.766063197803957
0.25,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.02606276853803,0,NA,0,NA,7.8710986268234e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056153846153826,0.67,0.764615384615391,0.767295121779226
