"row_number","athlete_name","session_type","session_name","session_num","time","C_res_acc","C_peak_mag","C_f_time","C_Jump","C_jh","C_PL","C_acc_zone","C_acc_zone_time","C_ma_Peak","C_raw_peak_mag","C_active_time","L_res_acc","L_peak_mag","L_f_time","L_Jump","L_jh","L_PL","L_acc_zone","L_acc_zone_time","L_ma_Peak","L_raw_peak_mag","L_active_time","R_res_acc","R_peak_mag","R_f_time","R_Jump","R_jh","R_PL","R_acc_zone","R_acc_zone_time","R_ma_Peak","R_raw_peak_mag","R_active_time","C_x_raw","C_y_raw","C_z_raw"
0.01,"Athlete 1",NA,NA,NA,2021-04-06 00:28:02,1.01158416589046,0,NA,0,NA,1.41834442962131e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.02,1.01
0.02,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01171846351516,0,NA,0,NA,1.11429946873099e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0187500000000355,1.01
0.03,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01170464978618,0,NA,0,NA,9.12483977393123e-06,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0127272727272164,1.01
0.04,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01116593405457,0,NA,0,NA,1.69011436067628e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477777777778339,0.0177777777778339,1.01
0.05,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.0098518456706,0,NA,0,NA,2.4700550414958e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0137499999998934,1.01
0.06,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00780450236801,0,NA,0,NA,2.61302119678818e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04625,0.02,1.01
0.07,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00538711827218,0,NA,0,NA,2.24726306643224e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.02,1.00124999999996
0.08,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00315388854829,0,NA,0,NA,2.30132524747384e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048888888888917,0.02,1
0.09,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00163779920307,0,NA,0,NA,2.90507515459061e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418181818181442,0.02,1
0.1,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00117519452457,0,NA,0,NA,3.03037793302086e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487500000000355,0.0187500000000355,1
0.11,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00184028875849,0,NA,0,NA,2.42842258175707e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.01,1.00375000000018
0.12,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00347929338452,0,NA,0,NA,2.45553464397121e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.01,1.00374999999989
0.13,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00578171452596,0,NA,0,NA,3.91922210214355e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.01,1
0.14,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00833551495226,0,NA,0,NA,5.19336755447062e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.02,1.01
0.15,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01066212957257,0,NA,0,NA,5.31396774286899e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418181818183509,0.02,1.01
0.16,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01226580336884,0,NA,0,NA,4.14772939272551e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0212500000002487,1.01
0.17,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01272968433019,0,NA,0,NA,2.40400895421296e-05,1.5,1.5,1,1.01272968433019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,1.01
0.18,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01185896397063,0,NA,0,NA,2.22972804735647e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,1.01
0.19,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00982348301219,0,NA,0,NA,3.36769049756671e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,1.01
0.2,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00720608359275,0,NA,0,NA,3.5920398840997e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,1.01
0.21,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00486767204962,0,NA,0,NA,2.51816423691553e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.02,1
0.22,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00363466376417,0,NA,0,NA,8.9952494953395e-06,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.02,1
0.23,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00394985388629,0,NA,0,NA,1.90554474789856e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.02,1
0.24,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00568364539098,0,NA,0,NA,3.25333783366556e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.02,1.00500000000014
