ms,xacc,yacc,zacc
1063,0.05,0.01,1.01
1072,0.05,0.01,1
1080,0.05,0.01,1
1088,0.05,0.01,1
1096,0.05,0,1
1115,0.05,0,1
1123,0.05,0,1
1131,0.05,0,1
1140,0.05,0,1
1148,0.05,0,1
1156,0.04,0,1
1165,0.04,0,1
1176,0.05,0,1
1184,0.05,0,1
1192,0.05,0,1
1200,0.05,0,1
1209,0.05,0,1
1217,0.05,0,1
1228,0.05,-0.01,1.01
1237,0.05,-0.01,1.01
1245,0.05,-0.01,1
1253,0.05,-0.01,1.01
1261,0.05,0,1.01
1270,0.05,0,1.01
1278,0.05,0,1.01
1290,0.05,-0.01,1.01
1298,0.05,-0.01,1.01
1306,0.05,0,1
1314,0.05,0,1
1323,0.04,0,1
1331,0.04,0,1
1342,0.05,-0.01,1.01
1351,0.05,-0.01,1.01
1359,0.04,-0.01,1.01
1367,0.04,-0.01,1.01
1376,0.05,0,1
1384,0.04,0,1
1392,0.04,-0.01,1
1403,0.04,-0.01,1.01
1413,0.04,-0.01,1.01
1422,0.04,0,1
1430,0.04,-0.01,1
1439,0.04,-0.01,1
1447,0.05,-0.01,1
1459,0.05,-0.01,1
1467,0.05,-0.01,1
1475,0.05,-0.01,1
1484,0.05,-0.01,1
1492,0.04,-0.01,1
1500,0.04,-0.01,1
1508,0.04,-0.01,1
1520,0.04,-0.01,1
1528,0.04,-0.02,1
1536,0.04,-0.03,1
1545,0.05,-0.02,1
1553,0.05,-0.01,1.01
1561,0.05,-0.01,1.01
1572,0.05,-0.01,1.01
1581,0.05,-0.01,1.01
1589,0.05,-0.01,1.01
1598,0.05,-0.01,1
1606,0.05,-0.01,1.01
1614,0.05,-0.01,1.01
1623,0.05,-0.01,1
1634,0.05,-0.02,1
1642,0.06,-0.02,1
1650,0.06,-0.01,1
1659,0.06,-0.01,1
1667,0.05,-0.01,1
1675,0.05,-0.01,1.01
1687,0.05,-0.01,1
1695,0.05,-0.01,1
1703,0.04,-0.01,1.01
1711,0.04,-0.01,1.01
1720,0.04,-0.01,1.01
1728,0.05,-0.01,1
1739,0.04,-0.02,1.01
1748,0.05,-0.02,1.01
1756,0.04,-0.02,1.01
1764,0.04,-0.02,1.01
1773,0.04,-0.02,1.01
1781,0.04,-0.02,1.01
1789,0.04,-0.02,1.01
1800,0.04,-0.02,1.01
1810,0.04,-0.02,1.01
1819,0.04,-0.03,1.01
1827,0.04,-0.03,1.01
1836,0.05,-0.03,1
1845,0.04,-0.03,1
1856,0.04,-0.03,1
1864,0.04,-0.03,1
1873,0.04,-0.03,1
1881,0.04,-0.03,1.01
1889,0.04,-0.03,1.01
1898,0.04,-0.03,1.01
1906,0.04,-0.03,1.01
